tf,ind,thr,mode,sl_atr,tp_atr,sl,tp,n,alpha,z_alpha,net,L,S
H1,zscore_fib_55,2.63,continuation,2.23,2.68,69.4,83.4,656,4.93,2.54,2416.1,"(301, 51.16, 6.88, np.float64(2.4))","(355, 49.01, 3.28, np.float64(1.24))"
H1,zscore_fib_55,2.63,continuation,1.53,1.91,47.6,59.4,699,5.29,2.82,1442.9,"(328, 52.13, 9.0, np.float64(3.29))","(371, 47.17, 2.01, np.float64(0.78))"
H1,zscore_fib_55,3.08,reversion,1.87,1.87,58.2,58.2,416,-5.69,-2.33,-4369.5,"(219, 43.84, -4.41, np.float64(-1.31))","(197, 43.65, -7.11, np.float64(-2.0))"
H1,zscore_fib_55,3.08,reversion,1.87,2.24,58.2,69.7,416,-4.98,-2.04,-4195.0,"(219, 39.27, -5.0, np.float64(-1.49))","(197, 41.12, -4.96, np.float64(-1.4))"
H1,zscore_fib_55,3.08,reversion,2.23,2.68,69.4,83.4,406,-4.33,-1.75,-4364.7,"(214, 37.85, -6.43, np.float64(-1.89))","(192, 43.75, -1.99, np.float64(-0.55))"
H1,zscore_fib_55,3.08,reversion,1.53,1.91,47.6,59.4,418,-3.19,-1.32,-2960.1,"(220, 40.0, -3.13, np.float64(-0.94))","(198, 41.92, -3.24, np.float64(-0.92))"
H1,zscore_fib_55,3.08,continuation,1.87,1.87,58.2,58.2,416,4.52,1.84,576.3,"(197, 54.31, 6.07, np.float64(1.71))","(219, 53.88, 3.12, np.float64(0.92))"
H1,zscore_fib_55,3.08,continuation,1.87,2.24,58.2,69.7,408,5.51,2.23,1342.1,"(192, 49.48, 5.21, np.float64(1.45))","(216, 51.85, 5.78, np.float64(1.7))"
H1,zscore_fib_55,3.08,continuation,2.23,2.68,69.4,83.4,400,5.44,2.19,1718.8,"(187, 48.66, 4.38, np.float64(1.21))","(213, 52.11, 6.38, np.float64(1.87))"
H1,zscore_fib_55,3.08,continuation,1.53,1.91,47.6,59.4,416,6.04,2.48,1157.7,"(197, 50.76, 7.63, np.float64(2.16))","(219, 49.77, 4.61, np.float64(1.37))"
H1,zscore_fib_89,2.17,reversion,1.87,1.87,58.2,58.2,845,-2.94,-1.71,-6222.3,"(441, 46.49, -1.76, np.float64(-0.74))","(404, 46.53, -4.23, np.float64(-1.7))"
H1,zscore_fib_89,2.17,reversion,1.87,2.24,58.2,69.7,823,-2.97,-1.71,-6242.5,"(428, 42.06, -2.22, np.float64(-0.92))","(395, 42.28, -3.8, np.float64(-1.51))"
H1,zscore_fib_89,2.17,reversion,2.23,2.68,69.4,83.4,777,-3.28,-1.83,-7082.4,"(405, 41.48, -2.8, np.float64(-1.13))","(372, 41.94, -3.8, np.float64(-1.47))"
H1,zscore_fib_89,2.17,reversion,1.53,1.91,47.6,59.4,878,-3.21,-1.92,-6319.9,"(461, 39.91, -3.22, np.float64(-1.4))","(417, 41.97, -3.2, np.float64(-1.31))"
H1,zscore_fib_89,2.17,continuation,1.87,1.87,58.2,58.2,845,2.99,1.74,-285.9,"(404, 52.72, 4.48, np.float64(1.8))","(441, 52.38, 1.62, np.float64(0.68))"
H1,zscore_fib_89,2.17,continuation,1.87,2.24,58.2,69.7,810,4.41,2.52,1622.5,"(384, 49.22, 4.95, np.float64(1.95))","(426, 50.0, 3.92, np.float64(1.63))"
H1,zscore_fib_89,2.17,continuation,2.23,2.68,69.4,83.4,749,4.61,2.55,2325.2,"(352, 49.43, 5.15, np.float64(1.95))","(397, 49.87, 4.14, np.float64(1.66))"
H1,zscore_fib_89,2.17,continuation,1.53,1.91,47.6,59.4,868,3.28,1.95,-97.2,"(417, 46.76, 3.63, np.float64(1.5))","(451, 48.12, 2.95, np.float64(1.26))"
H1,zscore_fib_89,2.63,reversion,1.87,1.87,58.2,58.2,545,-3.9,-1.82,-4650.3,"(295, 45.42, -2.82, np.float64(-0.97))","(250, 45.6, -5.16, np.float64(-1.63))"
H1,zscore_fib_89,2.63,reversion,1.87,2.24,58.2,69.7,541,-3.88,-1.81,-4749.8,"(293, 40.27, -4.0, np.float64(-1.38))","(248, 42.34, -3.74, np.float64(-1.18))"
H1,zscore_fib_89,2.63,reversion,2.23,2.68,69.4,83.4,524,-4.49,-2.06,-5789.9,"(284, 40.14, -4.14, np.float64(-1.4))","(240, 40.83, -4.9, np.float64(-1.52))"
H1,zscore_fib_89,2.63,reversion,1.53,1.91,47.6,59.4,563,-2.51,-1.2,-3618.7,"(303, 41.25, -1.88, np.float64(-0.66))","(260, 41.92, -3.24, np.float64(-1.05))"
H1,zscore_fib_89,2.63,continuation,1.87,1.87,58.2,58.2,545,3.05,1.42,-110.7,"(250, 53.2, 4.96, np.float64(1.57))","(295, 52.2, 1.44, np.float64(0.49))"
H1,zscore_fib_89,2.63,continuation,1.87,2.24,58.2,69.7,533,3.15,1.47,218.7,"(243, 47.33, 3.05, np.float64(0.96))","(290, 49.31, 3.23, np.float64(1.11))"
H1,zscore_fib_89,2.63,continuation,2.23,2.68,69.4,83.4,516,4.14,1.89,1236.5,"(231, 46.32, 2.04, np.float64(0.62))","(285, 51.58, 5.84, np.float64(1.98))"
H1,zscore_fib_89,2.63,continuation,1.53,1.91,47.6,59.4,553,3.15,1.49,-113.7,"(254, 47.24, 4.11, np.float64(1.32))","(299, 47.49, 2.33, np.float64(0.81))"
H1,zscore_fib_89,3.08,reversion,1.87,1.87,58.2,58.2,308,-4.89,-1.72,-2995.2,"(170, 40.0, -8.24, np.float64(-2.15))","(138, 50.0, -0.76, np.float64(-0.18))"
H1,zscore_fib_89,3.08,reversion,1.87,2.24,58.2,69.7,308,-3.52,-1.25,-2570.8,"(170, 37.65, -6.63, np.float64(-1.74))","(138, 46.38, 0.3, np.float64(0.07))"
H1,zscore_fib_89,3.08,reversion,2.23,2.68,69.4,83.4,303,-4.99,-1.75,-3653.7,"(168, 38.1, -6.19, np.float64(-1.61))","(135, 42.22, -3.51, np.float64(-0.82))"
H1,zscore_fib_89,3.08,reversion,1.53,1.91,47.6,59.4,314,-2.96,-1.06,-2179.6,"(173, 38.15, -4.98, np.float64(-1.32))","(141, 44.68, -0.48, np.float64(-0.12))"
H1,zscore_fib_89,3.08,continuation,1.87,1.87,58.2,58.2,308,2.64,0.93,-201.6,"(138, 47.1, -1.14, np.float64(-0.27))","(170, 56.47, 5.71, np.float64(1.49))"
H1,zscore_fib_89,3.08,continuation,1.87,2.24,58.2,69.7,303,4.56,1.59,678.4,"(135, 44.44, 0.17, np.float64(0.04))","(168, 54.17, 8.09, np.float64(2.1))"
H1,zscore_fib_89,3.08,continuation,2.23,2.68,69.4,83.4,299,3.07,1.06,294.7,"(132, 45.45, 1.17, np.float64(0.27))","(167, 50.3, 4.56, np.float64(1.18))"
H1,zscore_fib_89,3.08,continuation,1.53,1.91,47.6,59.4,308,3.15,1.11,-55.2,"(138, 43.48, 0.34, np.float64(0.08))","(170, 50.59, 5.42, np.float64(1.42))"
H1,zscore_fib_144,2.17,reversion,1.87,1.87,58.2,58.2,641,-3.22,-1.63,-4821.0,"(308, 46.1, -2.14, np.float64(-0.75))","(333, 46.55, -4.22, np.float64(-1.54))"
H1,zscore_fib_144,2.17,reversion,1.87,2.24,58.2,69.7,627,-4.07,-2.05,-5514.0,"(299, 40.8, -3.47, np.float64(-1.21))","(328, 41.46, -4.61, np.float64(-1.68))"
H1,zscore_fib_144,2.17,reversion,2.23,2.68,69.4,83.4,577,-5.18,-2.5,-6887.7,"(277, 38.27, -6.01, np.float64(-2.01))","(300, 41.33, -4.4, np.float64(-1.53))"
H1,zscore_fib_144,2.17,reversion,1.53,1.91,47.6,59.4,671,-2.3,-1.2,-4067.8,"(326, 41.41, -1.72, np.float64(-0.63))","(345, 42.32, -2.85, np.float64(-1.06))"
