signal_bar,entry_bar,exit_bar,entry_price,exit_price,direction,outcome,pnl,bars_held,sl_dist,kelly_w
180918,180919,180921,1.1608100000000001,1.1623569250566412,short,loss,-0.001546925056641113,2,0.0015469250566410397,1.1729125860688177
180927,180928,180933,1.16245,1.1639449847370738,short,loss,-0.0014949847370737679,5,0.0014949847370736794,1.1729125860688177
180940,180941,180961,1.16137,1.1630711972811894,short,loss,-0.0017011972811893372,20,0.0017011972811892576,1.1729125860688177
181066,181067,181093,1.15617,1.1574903259636082,short,loss,-0.0013203259636083153,26,0.0013203259636083257,1.1729125860688177
181096,181097,181103,1.15685,1.1578525585021304,short,loss,-0.0010025585021304906,6,0.0010025585021304433,1.1729125860688177
181115,181116,181132,1.1569800000000001,1.1583632182545693,short,loss,-0.0013832182545692184,16,0.0013832182545691848,1.1729125860688177
181673,181674,181694,1.16592,1.1647713483351705,short,win,0.0011486516648295808,20,0.0009719360240865123,1.1729125860688177
181696,181697,181718,1.16565,1.164148023604939,short,win,0.0015019763950609999,21,0.0012709031035131944,1.1729125860688177
181734,181735,181744,1.16425,1.1651740722770447,short,loss,-0.0009240722770447185,9,0.0009240722770448256,1.1729125860688177
181749,181750,181754,1.16449,1.1635516074539385,short,win,0.0009383925460615394,4,0.0007940244620520337,1.1729125860688177
181754,181755,181768,1.1634200000000001,1.162313177144187,short,win,0.0011068228558130944,13,0.0009365424164572362,1.1729125860688177
181789,181790,181802,1.16181,1.1599874124363956,short,win,0.0018225875636044275,12,0.0015421894768960882,1.1729125860688177
181844,181845,181860,1.16051,1.1612809104063768,short,loss,-0.0007709104063768901,15,0.0007709104063769847,1.1729125860688177
181869,181870,181881,1.15997,1.1586720382449716,short,win,0.0012979617550283873,11,0.0010982753311778416,1.1729125860688177
181936,181937,181951,1.16001,1.1591623246908846,short,win,0.0008476753091153366,14,0.0007172637230975279,1.1729125860688177
181970,181971,181990,1.15965,1.160745074546815,short,loss,-0.0010950745468150114,19,0.0010950745468150756,1.1729125860688177
182361,182362,182375,1.16321,1.1645732339726564,short,loss,-0.0013632339726563636,13,0.0013632339726562838,1.1729125860688177
182452,182453,182459,1.16162,1.1597871252057967,short,win,0.001832874794203354,6,0.001550894056633571,1.1729125860688177
182596,182597,182634,1.15343,1.151946261832854,short,win,0.001483738167145976,37,0.001255470756815898,1.1729125860688177
