entry_bar,exit_bar,pnl_pip,outcome,sl_pip,tp_pip,exit_kind,direction
55294,55298,-7.100000000001091,loss,160.52000000000058,160.52000000000058,0,long
55367,55371,18.099999999998726,win,160.52000000000058,160.52000000000058,0,long
55433,55437,-52.29999999999863,loss,160.52000000000058,160.52000000000058,0,long
55501,55505,6.199999999998181,win,160.52000000000058,160.52000000000058,0,long
55506,55510,9.699999999999545,win,160.52000000000058,160.52000000000058,0,long
55513,55517,15.09999999999918,win,160.52000000000058,160.52000000000058,0,long
55527,55531,-14.899999999998546,loss,160.52000000000058,160.52000000000058,0,long
56199,56203,-27.800000000000455,loss,160.52000000000058,160.52000000000058,0,long
56371,56375,14.900000000001636,win,160.52000000000058,160.52000000000058,0,long
56468,56472,10.50000000000109,win,160.52000000000058,160.52000000000058,0,long
56807,56811,-97.79999999999818,loss,160.52000000000058,160.52000000000058,0,long
56820,56824,-20.099999999998364,loss,160.52000000000058,160.52000000000058,0,long
57233,57237,-25.400000000000365,loss,160.52000000000058,160.52000000000058,0,long
57501,57505,0.5999999999987269,win,160.52000000000058,160.52000000000058,0,long
57506,57510,58.899999999998,win,160.52000000000058,160.52000000000058,0,long
57537,57541,9.899999999999363,win,160.52000000000058,160.52000000000058,0,long
57580,57584,-13.000000000000274,loss,160.52000000000058,160.52000000000058,0,long
57782,57786,-22.900000000000365,loss,160.52000000000058,160.52000000000058,0,long
57809,57813,-36.400000000001725,loss,160.52000000000058,160.52000000000058,0,long
57895,57899,-4.099999999999272,loss,160.52000000000058,160.52000000000058,0,long
58070,58074,-30.8,loss,160.52000000000058,160.52000000000058,0,long
58365,58369,-78.00000000000027,loss,160.52000000000058,160.52000000000058,0,long
59746,59748,157.22000000000057,win,160.52000000000058,160.52000000000058,1,long
59776,59780,7.700000000001364,win,160.52000000000058,160.52000000000058,0,long
59822,59826,9.399999999999817,win,160.52000000000058,160.52000000000058,0,long
59907,59908,157.22000000000057,win,160.52000000000058,160.52000000000058,1,long
60754,60758,31.899999999999817,win,160.52000000000058,160.52000000000058,0,long
60823,60827,-7.200000000001,loss,160.52000000000058,160.52000000000058,0,long
60829,60833,-32.69999999999827,loss,160.52000000000058,160.52000000000058,0,long
61209,61213,-7.1999999999987265,loss,160.52000000000058,160.52000000000058,0,long
61578,61582,-28.39999999999991,loss,160.52000000000058,160.52000000000058,0,long
62198,62202,17.600000000001454,win,160.52000000000058,160.52000000000058,0,long
62232,62236,-3.799999999999545,loss,160.52000000000058,160.52000000000058,0,long
62665,62669,-19.600000000001092,loss,160.52000000000058,160.52000000000058,0,long
62688,62692,25.299999999999,win,160.52000000000058,160.52000000000058,0,long
62694,62698,6.600000000000091,win,160.52000000000058,160.52000000000058,0,long
62758,62762,-52.90000000000036,loss,160.52000000000058,160.52000000000058,0,long
62958,62962,120.10000000000146,win,160.52000000000058,160.52000000000058,0,long
63130,63134,18.299999999998544,win,160.52000000000058,160.52000000000058,0,long
63189,63193,-15.400000000000365,loss,160.52000000000058,160.52000000000058,0,long
63200,63204,-22.800000000000455,loss,160.52000000000058,160.52000000000058,0,long
63770,63774,-63.499999999999815,loss,160.52000000000058,160.52000000000058,0,long
63808,63812,7.3999999999993635,win,160.52000000000058,160.52000000000058,0,long
63863,63866,157.22000000000057,win,160.52000000000058,160.52000000000058,1,long
63961,63965,-2.6000000000006365,loss,160.52000000000058,160.52000000000058,0,long
64503,64507,9.399999999999817,win,160.52000000000058,160.52000000000058,0,long
64692,64696,-60.899999999999906,loss,160.52000000000058,160.52000000000058,0,long
64711,64715,-15.500000000000274,loss,160.52000000000058,160.52000000000058,0,long
64786,64790,-9.799999999998636,loss,160.52000000000058,160.52000000000058,0,long
64853,64857,-140.8,loss,160.52000000000058,160.52000000000058,0,long
68166,68170,10.999999999998362,win,160.52000000000058,160.52000000000058,0,long
68928,68932,-65.20000000000054,loss,160.52000000000058,160.52000000000058,0,long
68994,68998,-50.20000000000054,loss,160.52000000000058,160.52000000000058,0,long
90270,90274,35.600000000001,win,160.52000000000058,160.52000000000058,0,long
90293,90297,-53.00000000000027,loss,160.52000000000058,160.52000000000058,0,long
90549,90553,-85.10000000000063,loss,160.52000000000058,160.52000000000058,0,long
91179,91183,18.600000000000545,win,160.52000000000058,160.52000000000058,0,long
91219,91223,-26.199999999999637,loss,160.52000000000058,160.52000000000058,0,long
91308,91312,-9.699999999998727,loss,160.52000000000058,160.52000000000058,0,long
91326,91330,-60.999999999999815,loss,160.52000000000058,160.52000000000058,0,long
92251,92255,-119.89999999999854,loss,160.52000000000058,160.52000000000058,0,long
92363,92367,9.299999999999908,win,160.52000000000058,160.52000000000058,0,long
93987,93991,-7.800000000000455,loss,160.52000000000058,160.52000000000058,0,long
94032,94036,3.2000000000009097,win,160.52000000000058,160.52000000000058,0,long
94443,94447,28.900000000000272,win,160.52000000000058,160.52000000000058,0,long
94913,94917,15.299999999998999,win,160.52000000000058,160.52000000000058,0,long
108282,108286,-28.599999999999728,loss,160.52000000000058,160.52000000000058,0,long
119290,119294,24.799999999999454,win,160.52000000000058,160.52000000000058,0,long
119441,119445,-11.499999999999364,loss,160.52000000000058,160.52000000000058,0,long
119559,119563,-14.80000000000091,loss,160.52000000000058,160.52000000000058,0,long
120124,120128,11.999999999999726,win,160.52000000000058,160.52000000000058,0,long
120198,120202,23.400000000000727,win,160.52000000000058,160.52000000000058,0,long
120751,120755,-17.599999999998364,loss,160.52000000000058,160.52000000000058,0,long
121113,121117,0.09999999999918163,win,160.52000000000058,160.52000000000058,0,long
121206,121210,19.399999999999817,win,160.52000000000058,160.52000000000058,0,long
127887,127891,-28.3,loss,160.52000000000058,160.52000000000058,0,long
128843,128847,-7.699999999998272,loss,160.52000000000058,160.52000000000058,0,long
136826,136830,157.22000000000057,win,160.52000000000058,160.52000000000058,1,long
196152,196156,-15.000000000000728,loss,160.52000000000058,160.52000000000058,0,long
196194,196198,48.19999999999864,win,160.52000000000058,160.52000000000058,0,long
196202,196206,-16.099999999999728,loss,160.52000000000058,160.52000000000058,0,long
196356,196360,-32.500000000000725,loss,160.52000000000058,160.52000000000058,0,long
196414,196418,-51.70000000000145,loss,160.52000000000058,160.52000000000058,0,long
196422,196426,-30.99999999999982,loss,160.52000000000058,160.52000000000058,0,long
196839,196843,35.600000000001,win,160.52000000000058,160.52000000000058,0,long
196894,196898,0.3999999999989088,win,160.52000000000058,160.52000000000058,0,long
198814,198818,-5.500000000000273,loss,160.52000000000058,160.52000000000058,0,long
198891,198895,9.2,win,160.52000000000058,160.52000000000058,0,long
198979,198983,39.59999999999964,win,160.52000000000058,160.52000000000058,0,long
198995,198999,22.90000000000118,win,160.52000000000058,160.52000000000058,0,long
199002,199006,13.100000000001,win,160.52000000000058,160.52000000000058,0,long
199015,199019,23.499999999998362,win,160.52000000000058,160.52000000000058,0,long
199026,199030,29.599999999999635,win,160.52000000000058,160.52000000000058,0,long
199158,199162,11.099999999998271,win,160.52000000000058,160.52000000000058,0,long
199252,199256,17.59999999999918,win,160.52000000000058,160.52000000000058,0,long
199266,199270,9.299999999999908,win,160.52000000000058,160.52000000000058,0,long
199278,199282,-30.39999999999809,loss,160.52000000000058,160.52000000000058,0,long
199290,199294,11.100000000000545,win,160.52000000000058,160.52000000000058,0,long
199521,199525,157.22000000000057,win,160.52000000000058,160.52000000000058,1,long
199583,199587,18.00000000000109,win,160.52000000000058,160.52000000000058,0,long
199610,199614,-67.19999999999872,loss,160.52000000000058,160.52000000000058,0,long
199676,199680,1.300000000000364,win,160.52000000000058,160.52000000000058,0,long
200290,200294,-31.900000000001274,loss,160.52000000000058,160.52000000000058,0,long
200314,200318,-30.400000000000365,loss,160.52000000000058,160.52000000000058,0,long
201062,201066,-17.900000000000365,loss,160.52000000000058,160.52000000000058,0,long
201150,201154,11.300000000000363,win,160.52000000000058,160.52000000000058,0,long
201520,201524,-35.60000000000018,loss,160.52000000000058,160.52000000000058,0,long
201642,201646,-32.400000000000816,loss,160.52000000000058,160.52000000000058,0,long
