entry_bar,exit_bar,pnl_pip,outcome,sl_pip,tp_pip,exit_kind,direction,t_entry,t_exit,src_card
417411,417419,-43.79999999999954,loss,307.89599999999876,307.89599999999876,0,long,1675868400000000000,1675875600000000000,XAUUSD-M30
417525,417533,-69.10000000000154,loss,307.89599999999876,307.89599999999876,0,long,1675971000000000000,1675978200000000000,XAUUSD-M30
417610,417614,-20.200000000000546,loss,160.52000000000058,160.52000000000058,0,long,1676047500000000000,1676051100000000000,XAUUSD-M15
417992,417995,157.22000000000057,win,160.52000000000058,160.52000000000058,1,long,1676391300000000000,1676394000000000000,XAUUSD-M15
418041,418045,-58.69999999999963,loss,160.52000000000058,160.52000000000058,0,long,1676435400000000000,1676439000000000000,XAUUSD-M15
418089,418093,-75.5999999999979,loss,160.52000000000058,160.52000000000058,0,long,1676478600000000000,1676482200000000000,XAUUSD-M15
418289,418293,20.300000000001273,win,160.52000000000058,160.52000000000058,0,long,1676658600000000000,1676662200000000000,XAUUSD-M15
420306,420310,86.00000000000064,win,160.52000000000058,160.52000000000058,0,long,1678473900000000000,1678477500000000000,XAUUSD-M15
420519,420523,-63.00000000000027,loss,160.52000000000058,160.52000000000058,0,long,1678665600000000000,1678669200000000000,XAUUSD-M15
420719,420723,29.2,win,160.52000000000058,160.52000000000058,0,long,1678845600000000000,1678849200000000000,XAUUSD-M15
420757,420765,213.90000000000026,win,307.89599999999876,307.89599999999876,0,long,1678879800000000000,1678887000000000000,XAUUSD-M30
420939,420943,-13.39999999999991,loss,160.52000000000058,160.52000000000058,0,long,1679043600000000000,1679047200000000000,XAUUSD-M15
420947,420951,-0.10000000000063647,loss,160.52000000000058,160.52000000000058,0,long,1679050800000000000,1679054400000000000,XAUUSD-M15
420961,420965,38.80000000000037,win,160.52000000000058,160.52000000000058,0,long,1679063400000000000,1679067000000000000,XAUUSD-M15
421420,421424,85.299999999999,win,160.52000000000058,160.52000000000058,0,long,1679476500000000000,1679480100000000000,XAUUSD-M15
422019,422027,-12.40000000000082,loss,307.89599999999876,307.89599999999876,0,long,1680015600000000000,1680022800000000000,XAUUSD-M30
422030,422034,-28.20000000000009,loss,160.52000000000058,160.52000000000058,0,long,1680025500000000000,1680029100000000000,XAUUSD-M15
422547,422551,10.100000000001454,win,160.52000000000058,160.52000000000058,0,long,1680490800000000000,1680494400000000000,XAUUSD-M15
422558,422562,-10.600000000000183,loss,160.52000000000058,160.52000000000058,0,long,1680500700000000000,1680504300000000000,XAUUSD-M15
422601,422605,53.499999999998366,win,160.52000000000058,160.52000000000058,0,long,1680539400000000000,1680543000000000000,XAUUSD-M15
422699,422707,-7.900000000000364,loss,307.89599999999876,307.89599999999876,0,long,1680627600000000000,1680634800000000000,XAUUSD-M30
422797,422801,33.30000000000082,win,160.52000000000058,160.52000000000058,0,long,1680715800000000000,1680719400000000000,XAUUSD-M15
423466,423470,-11.199999999999637,loss,160.52000000000058,160.52000000000058,0,long,1681317900000000000,1681321500000000000,XAUUSD-M15
423565,423569,49.49999999999973,win,160.52000000000058,160.52000000000058,0,long,1681407000000000000,1681410600000000000,XAUUSD-M15
423654,423658,-15.199999999998273,loss,160.52000000000058,160.52000000000058,0,long,1681487100000000000,1681490700000000000,XAUUSD-M15
423945,423953,-63.099999999997905,loss,307.89599999999876,307.89599999999876,0,long,1681749000000000000,1681756200000000000,XAUUSD-M30
424137,424141,47.29999999999946,win,160.52000000000058,160.52000000000058,0,long,1681921800000000000,1681925400000000000,XAUUSD-M15
424145,424153,28.600000000000545,win,307.89599999999876,307.89599999999876,0,long,1681929000000000000,1681936200000000000,XAUUSD-M30
424236,424240,-30.300000000000455,loss,160.52000000000058,160.52000000000058,0,long,1682010900000000000,1682014500000000000,XAUUSD-M15
424329,424337,16.7,win,307.89599999999876,307.89599999999876,0,long,1682094600000000000,1682101800000000000,XAUUSD-M30
424715,424719,7.799999999999,win,160.52000000000058,160.52000000000058,0,long,1682442000000000000,1682445600000000000,XAUUSD-M15
424728,424732,46.89999999999982,win,160.52000000000058,160.52000000000058,0,long,1682453700000000000,1682457300000000000,XAUUSD-M15
424733,424741,9.699999999999545,win,307.89599999999876,307.89599999999876,0,long,1682458200000000000,1682465400000000000,XAUUSD-M30
424811,424815,-63.69999999999963,loss,160.52000000000058,160.52000000000058,0,long,1682528400000000000,1682532000000000000,XAUUSD-M15
424817,424825,-34.900000000000816,loss,307.89599999999876,307.89599999999876,0,long,1682533800000000000,1682541000000000000,XAUUSD-M30
424903,424911,56.00000000000064,win,307.89599999999876,307.89599999999876,0,long,1682611200000000000,1682618400000000000,XAUUSD-M30
425005,425009,21.300000000000363,win,160.52000000000058,160.52000000000058,0,long,1682703000000000000,1682706600000000000,XAUUSD-M15
425296,425300,-9.699999999998727,loss,160.52000000000058,160.52000000000058,0,long,1682964900000000000,1682968500000000000,XAUUSD-M15
425395,425399,-3.7000000000019098,loss,160.52000000000058,160.52000000000058,0,long,1683054000000000000,1683057600000000000,XAUUSD-M15
425501,425505,39.49999999999973,win,160.52000000000058,160.52000000000058,0,long,1683149400000000000,1683153000000000000,XAUUSD-M15
425669,425673,-35.50000000000027,loss,160.52000000000058,160.52000000000058,0,long,1683300600000000000,1683304200000000000,XAUUSD-M15
426250,426254,79.70000000000182,win,160.52000000000058,160.52000000000058,0,long,1683823500000000000,1683827100000000000,XAUUSD-M15
427594,427598,-16.899999999999,loss,160.52000000000058,160.52000000000058,0,long,1685033100000000000,1685036700000000000,XAUUSD-M15
429610,429614,-0.7999999999999998,loss,160.52000000000058,160.52000000000058,0,long,1686847500000000000,1686851100000000000,XAUUSD-M15
440181,440185,-2.6000000000006365,loss,160.52000000000058,160.52000000000058,0,long,1696361400000000000,1696365000000000000,XAUUSD-M15
441718,441722,104.00000000000018,win,160.52000000000058,160.52000000000058,0,long,1697744700000000000,1697748300000000000,XAUUSD-M15
441803,441811,18.400000000000727,win,307.89599999999876,307.89599999999876,0,long,1697821200000000000,1697828400000000000,XAUUSD-M30
442089,442093,65.79999999999855,win,160.52000000000058,160.52000000000058,0,long,1698078600000000000,1698082200000000000,XAUUSD-M15
