entry_bar,exit_bar,outcome,pnl_pip,sl_pip,tp_pip,direction,t_entry,t_exit,src_card
12942,12971,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1577340000000000000,1577966400000000000,XAUUSD-H6
12972,12976,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1577988000000000000,1578074400000000000,XAUUSD-H6
12993,12995,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1578441600000000000,1578484800000000000,XAUUSD-H6
13073,13077,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1580169600000000000,1580256000000000000,XAUUSD-H6
13088,13099,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1580493600000000000,1580731200000000000,XAUUSD-H6
13156,13160,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1581962400000000000,1582048800000000000,XAUUSD-H6
13162,13170,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1582092000000000000,1582264800000000000,XAUUSD-H6
13237,13238,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1583712000000000000,1583733600000000000,XAUUSD-H6
13364,13380,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1586455200000000000,1586800800000000000,XAUUSD-H6
13383,13386,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1586865600000000000,1586930400000000000,XAUUSD-H6
13420,13423,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1587664800000000000,1587729600000000000,XAUUSD-H6
13504,13517,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1589479200000000000,1589760000000000000,XAUUSD-H6
13659,13666,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1592827200000000000,1592978400000000000,XAUUSD-H6
13685,13719,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1593388800000000000,1594123200000000000,XAUUSD-H6
13720,13723,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1594144800000000000,1594209600000000000,XAUUSD-H6
13726,13728,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1594274400000000000,1594317600000000000,XAUUSD-H6
13753,13775,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1594857600000000000,1595332800000000000,XAUUSD-H6
13780,13784,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1595440800000000000,1595527200000000000,XAUUSD-H6
13804,13807,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1595959200000000000,1596024000000000000,XAUUSD-H6
13808,13810,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1596045600000000000,1596088800000000000,XAUUSD-H6
13814,13815,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1596175200000000000,1596196800000000000,XAUUSD-H6
