signal_bar,entry_bar,exit_bar,direction,entry_price,exit_price,outcome,pnl_pip,sl_pip,bars_held,bar_dt
785361,785362,785364,long,1950.28,1952.24,win,16.300000000000363,80.0,2,2022-04-20 13:00:00
785409,785410,785413,long,1951.33,1951.76,win,1.0000000000006368,80.0,3,2022-04-20 17:00:00
785457,785458,785460,long,1952.43,1952.5,loss,-2.6000000000006365,80.0,2,2022-04-20 21:00:00
785514,785515,785517,long,1955.87,1956.47,win,2.7000000000013644,80.0,2,2022-04-21 02:45:00
785742,785743,785745,long,1951.83,1952.39,win,2.300000000001728,80.0,2,2022-04-21 21:45:00
785808,785809,785812,long,1952.64,1952.3400000000001,loss,-6.299999999999545,80.0,3,2022-04-22 04:15:00
785864,785865,785867,long,1952.92,1954.6000000000001,win,13.500000000000636,80.0,2,2022-04-22 08:55:00
786367,786368,786370,long,1903.47,1904.17,win,3.700000000000455,80.0,2,2022-04-26 05:50:00
786454,786455,786457,long,1906.36,1906.1200000000001,loss,-5.699999999997817,80.0,2,2022-04-26 13:05:00
786510,786511,786553,long,1907.65,1899.65,loss,-83.3,80.0,42,2022-04-26 17:45:00
786605,786606,786609,long,1905.99,1906.25,loss,-0.7000000000000908,80.0,3,2022-04-27 02:40:00
786756,786757,786764,long,1906.59,1898.59,loss,-83.3,80.0,7,2022-04-27 15:15:00
786972,786973,786975,long,1884.65,1885.45,win,4.699999999999545,80.0,2,2022-04-28 10:15:00
787021,787022,787024,long,1888.84,1888.89,loss,-2.799999999998181,80.0,2,2022-04-28 14:20:00
787070,787071,787073,long,1888.82,1888.7900000000002,loss,-3.5999999999974532,80.0,2,2022-04-28 18:25:00
787123,787124,787128,long,1895.38,1895.3400000000001,loss,-3.699999999999636,80.0,4,2022-04-28 22:50:00
787173,787174,787176,long,1901.19,1901.43,loss,-0.8999999999999089,80.0,2,2022-04-29 04:00:00
787221,787222,787225,long,1906.73,1907.41,win,3.500000000000637,80.0,3,2022-04-29 08:00:00
787269,787270,787272,long,1913.89,1913.8700000000001,loss,-3.499999999999818,80.0,2,2022-04-29 12:00:00
787317,787318,787324,long,1912.8,1904.8,loss,-83.3,80.0,6,2022-04-29 16:00:00
787859,787860,787864,long,1865.55,1867.26,win,13.800000000000363,80.0,4,2022-05-03 16:10:00
787911,787912,787917,long,1870.92,1870.5800000000002,loss,-6.699999999999181,80.0,5,2022-05-03 20:30:00
787964,787965,787969,long,1868.63,1868.66,loss,-3.0000000000002727,80.0,4,2022-05-04 01:55:00
788061,788062,788064,long,1867.76,1868.64,win,5.500000000001092,80.0,2,2022-05-04 10:00:00
788117,788118,788134,long,1869.53,1869.15,loss,-7.0999999999988175,80.0,16,2022-05-04 14:40:00
788193,788194,788197,long,1873.78,1874.6100000000001,win,5.000000000001546,80.0,3,2022-05-04 21:00:00
788241,788242,788245,long,1883.77,1889.13,win,50.300000000001276,80.0,3,2022-05-05 02:00:00
788289,788290,788293,long,1900.98,1901.3400000000001,win,0.30000000000127347,80.0,3,2022-05-05 06:00:00
