n,wr,be,lift,z,sl_pip,tp_pip,net_pip,tf,ind,thr,mode,sl_atr,tp_atr
9824,44.55,44.73,-0.18,-0.35,19.1,23.6,-33172.2,M15,reflex,0.83,reversion,1.31,1.62
8889,50.37,50.0,0.37,0.69,27.3,27.3,-27537.9,M15,reflex,0.83,reversion,1.87,1.87
8426,46.02,45.5,0.52,0.97,27.3,32.7,-25134.3,M15,reflex,0.83,reversion,1.87,2.24
7773,48.35,50.0,-1.65,-2.92,19.1,19.1,-30559.6,M15,reflex,1.17,continuation,1.31,1.31
7619,43.21,44.73,-1.52,-2.67,19.1,23.6,-30097.2,M15,reflex,1.17,continuation,1.31,1.62
7045,49.28,50.0,-0.72,-1.2,27.3,27.3,-26005.8,M15,reflex,1.17,continuation,1.87,1.87
6799,45.02,45.5,-0.48,-0.79,27.3,32.7,-24416.1,M15,reflex,1.17,continuation,1.87,2.24
7773,49.44,50.0,-0.56,-0.99,19.1,19.1,-27312.6,M15,reflex,1.17,reversion,1.31,1.31
7577,43.65,44.73,-1.09,-1.9,19.1,23.6,-28515.9,M15,reflex,1.17,reversion,1.31,1.62
7045,49.64,50.0,-0.36,-0.61,27.3,27.3,-24640.8,M15,reflex,1.17,reversion,1.87,1.87
6768,45.33,45.5,-0.17,-0.28,27.3,32.7,-23020.8,M15,reflex,1.17,reversion,1.87,2.24
5632,48.56,50.0,-1.44,-2.16,19.1,19.1,-21679.8,M15,reflex,1.46,continuation,1.31,1.31
5566,43.82,44.73,-0.91,-1.37,19.1,23.6,-20533.1,M15,reflex,1.46,continuation,1.31,1.62
5307,49.31,50.0,-0.69,-1.0,27.3,27.3,-19527.3,M15,reflex,1.46,continuation,1.87,1.87
5184,44.6,45.5,-0.9,-1.3,27.3,32.7,-19937.1,M15,reflex,1.46,continuation,1.87,2.24
5632,49.63,50.0,-0.37,-0.56,19.1,19.1,-19387.8,M15,reflex,1.46,reversion,1.31,1.31
5549,44.19,44.73,-0.54,-0.81,19.1,23.6,-19597.2,M15,reflex,1.46,reversion,1.31,1.62
5307,49.9,50.0,-0.1,-0.15,27.3,27.3,-17792.1,M15,reflex,1.46,reversion,1.87,1.87
5176,45.13,45.5,-0.37,-0.53,27.3,32.7,-18204.3,M15,reflex,1.46,reversion,1.87,2.24
3781,48.59,50.0,-1.41,-1.74,19.1,19.1,-14521.0,M15,reflex,1.73,continuation,1.31,1.31
3762,44.36,44.73,-0.37,-0.45,19.1,23.6,-12982.3,M15,reflex,1.73,continuation,1.31,1.62
3661,49.49,50.0,-0.51,-0.61,27.3,27.3,-13063.0,M15,reflex,1.73,continuation,1.87,1.87
3616,44.91,45.5,-0.59,-0.71,27.3,32.7,-13181.2,M15,reflex,1.73,continuation,1.87,2.24
3781,49.4,50.0,-0.6,-0.73,19.1,19.1,-13336.8,M15,reflex,1.73,reversion,1.31,1.31
3758,44.73,44.73,0.0,0.0,19.1,23.6,-12400.5,M15,reflex,1.73,reversion,1.31,1.62
3661,49.69,50.0,-0.31,-0.38,27.3,27.3,-12683.0,M15,reflex,1.73,reversion,1.87,1.87
3595,45.26,45.5,-0.24,-0.29,27.3,32.7,-12360.8,M15,reflex,1.73,reversion,1.87,2.24
1756,48.63,50.0,-1.37,-1.15,19.1,19.1,-6711.6,M15,reflex,2.1,continuation,1.31,1.31
1753,44.72,44.73,-0.01,-0.01,19.1,23.6,-5770.2,M15,reflex,2.1,continuation,1.31,1.62
1743,51.0,50.0,1.0,0.84,27.3,27.3,-4768.0,M15,reflex,2.1,continuation,1.87,1.87
1731,46.27,45.5,0.77,0.65,27.3,32.7,-4880.2,M15,reflex,2.1,continuation,1.87,2.24
1756,48.29,50.0,-1.71,-1.43,19.1,19.1,-6940.8,M15,reflex,2.1,reversion,1.31,1.31
1754,43.1,44.73,-1.63,-1.37,19.1,23.6,-7008.4,M15,reflex,2.1,reversion,1.31,1.62
1743,48.14,50.0,-1.86,-1.56,27.3,27.3,-7500.2,M15,reflex,2.1,reversion,1.87,1.87
1733,43.8,45.5,-1.7,-1.42,27.3,32.7,-7463.6,M15,reflex,2.1,reversion,1.87,2.24
3517,49.33,50.0,-0.67,-0.79,28.2,28.2,-12931.5,M30,trendflex,0.83,continuation,1.31,1.31
3455,44.6,44.76,-0.16,-0.19,28.2,34.8,-11772.5,M30,trendflex,0.83,continuation,1.31,1.62
3196,50.13,50.0,0.13,0.14,40.2,40.2,-10256.2,M30,trendflex,0.83,continuation,1.87,1.87
3081,46.19,45.48,0.71,0.79,40.2,48.2,-8305.8,M30,trendflex,0.83,continuation,1.87,2.24
3517,48.85,50.0,-1.15,-1.37,28.2,28.2,-13890.3,M30,trendflex,0.83,reversion,1.31,1.31
3468,44.52,44.76,-0.24,-0.28,28.2,34.8,-11970.0,M30,trendflex,0.83,reversion,1.31,1.62
3196,48.97,50.0,-1.03,-1.17,40.2,40.2,-13169.0,M30,trendflex,0.83,reversion,1.87,1.87
3092,45.05,45.48,-0.42,-0.47,40.2,48.2,-11329.8,M30,trendflex,0.83,reversion,1.87,2.24
2718,50.18,50.0,0.18,0.19,28.2,28.2,-8660.7,M30,trendflex,1.17,continuation,1.31,1.31
2688,45.46,44.76,0.7,0.73,28.2,34.8,-7659.3,M30,trendflex,1.17,continuation,1.31,1.62
2587,51.18,50.0,1.18,1.2,40.2,40.2,-6046.2,M30,trendflex,1.17,continuation,1.87,1.87
2522,46.03,45.48,0.56,0.56,40.2,48.2,-6964.7,M30,trendflex,1.17,continuation,1.87,2.24
2718,47.65,50.0,-2.35,-2.46,28.2,28.2,-12549.3,M30,trendflex,1.17,reversion,1.31,1.31
2702,43.01,44.76,-1.76,-1.84,28.2,34.8,-11877.3,M30,trendflex,1.17,reversion,1.31,1.62
2587,47.93,50.0,-2.07,-2.1,40.2,40.2,-12796.8,M30,trendflex,1.17,reversion,1.87,1.87
2525,43.6,45.48,-1.87,-1.89,40.2,48.2,-12507.5,M30,trendflex,1.17,reversion,1.87,2.24
1980,50.66,50.0,0.66,0.58,28.2,28.2,-5800.8,M30,trendflex,1.46,continuation,1.31,1.31
1967,45.7,44.76,0.94,0.84,28.2,34.8,-5352.3,M30,trendflex,1.46,continuation,1.31,1.62
1945,51.41,50.0,1.41,1.25,40.2,40.2,-4241.7,M30,trendflex,1.46,continuation,1.87,1.87
1902,47.0,45.48,1.53,1.34,40.2,48.2,-3749.6,M30,trendflex,1.46,continuation,1.87,2.24
1980,47.02,50.0,-2.98,-2.65,28.2,28.2,-9861.6,M30,trendflex,1.46,reversion,1.31,1.31
1980,42.83,44.76,-1.93,-1.73,28.2,34.8,-8946.0,M30,trendflex,1.46,reversion,1.31,1.62
1945,47.76,50.0,-2.24,-1.97,40.2,40.2,-9881.7,M30,trendflex,1.46,reversion,1.87,1.87
1930,43.06,45.48,-2.42,-2.13,40.2,48.2,-10460.4,M30,trendflex,1.46,reversion,1.87,2.24
1411,50.46,50.0,0.46,0.35,28.2,28.2,-4278.2,M30,trendflex,1.73,continuation,1.31,1.31
1410,46.67,44.76,1.9,1.44,28.2,34.8,-2949.5,M30,trendflex,1.73,continuation,1.31,1.62
1404,52.21,50.0,2.21,1.65,40.2,40.2,-2117.3,M30,trendflex,1.73,continuation,1.87,1.87
1398,48.14,45.48,2.67,2.0,40.2,48.2,-1296.3,M30,trendflex,1.73,continuation,1.87,2.24
1411,47.2,50.0,-2.8,-2.1,28.2,28.2,-6895.6,M30,trendflex,1.73,reversion,1.31,1.31
1411,42.24,44.76,-2.52,-1.91,28.2,34.8,-6916.6,M30,trendflex,1.73,reversion,1.31,1.62
1404,46.87,50.0,-3.13,-2.35,40.2,40.2,-8194.3,M30,trendflex,1.73,reversion,1.87,1.87
1402,42.37,45.48,-3.11,-2.34,40.2,48.2,-8508.9,M30,trendflex,1.73,reversion,1.87,2.24
764,50.26,50.0,0.26,0.14,28.2,28.2,-2408.4,M30,trendflex,2.1,continuation,1.31,1.31
764,46.34,44.76,1.57,0.87,28.2,34.8,-1764.0,M30,trendflex,2.1,continuation,1.31,1.62
764,53.14,50.0,3.14,1.74,40.2,40.2,-591.6,M30,trendflex,2.1,continuation,1.87,1.87
763,48.1,45.48,2.62,1.46,40.2,48.2,-747.7,M30,trendflex,2.1,continuation,1.87,2.24
