signal_bar,entry_bar,exit_bar,direction,entry_price,exit_price,outcome,pnl_pip,sl_pip,bars_held,t_entry,t_exit,src_card
5149,43215,43263,short,1955.41,1936.7047,win,183.75300000000078,187.0530000000001,8,1699466400000000000,1699639200000000000,H6-short
7766,43697,43765,long,2040.76,2055.67255,win,145.82549999999782,149.12549999999985,17,1701201600000000000,1701446400000000000,H4-long
7785,43821,43821,long,2072.35,2087.26255,win,145.8255000000001,149.12549999999985,0,1701648000000000000,1701648000000000000,H4-long
7888,44401,44409,long,2087.03,2072.11745,loss,-152.4255000000001,149.12549999999985,2,1703736000000000000,1703764800000000000,H4-long
8030,45233,45233,long,2049.55,2034.6374500000002,loss,-152.4255000000001,149.12549999999985,0,1706731200000000000,1706731200000000000,H4-long
8036,45257,45273,long,2054.4,2039.48745,loss,-152.4255000000001,149.12549999999985,4,1706817600000000000,1706875200000000000,H4-long
5417,45543,45609,short,1992.04,2010.7453,loss,-190.3530000000008,187.0530000000001,11,1707847200000000000,1708084800000000000,H6-short
8155,45925,45949,long,2047.59,2062.5025499999997,win,145.82549999999782,149.12549999999985,6,1709222400000000000,1709308800000000000,H4-long
8162,45953,46021,long,2084.82,2099.73255,win,145.8255000000001,149.12549999999985,5,1709323200000000000,1709568000000000000,H4-long
8276,46601,46677,long,2221.91,2236.82255,win,145.8255000000001,149.12549999999985,1,1711656000000000000,1711929600000000000,H4-long
8453,47621,47621,long,2353.97,2368.88255,win,145.8255000000001,149.12549999999985,0,1715328000000000000,1715328000000000000,H4-long
8489,47861,47865,long,2437.34,2422.42745,loss,-152.4255000000001,149.12549999999985,1,1716192000000000000,1716206400000000000,H4-long
8570,48281,48293,long,2372.85,2357.93745,loss,-152.4255000000001,149.12549999999985,3,1717704000000000000,1717747200000000000,H4-long
8630,48617,48637,long,2356.38,2341.46745,loss,-152.4255000000001,149.12549999999985,5,1718913600000000000,1718985600000000000,H4-long
8696,48977,49041,long,2386.51,2371.59745,loss,-152.4255000000001,149.12549999999985,4,1720209600000000000,1720440000000000000,H4-long
8738,49241,49249,long,2459.14,2474.05255,win,145.8255000000001,149.12549999999985,2,1721160000000000000,1721188800000000000,H4-long
8990,50633,50641,long,2550.71,2565.62255,win,145.8255000000001,149.12549999999985,2,1726171200000000000,1726200000000000000,H4-long
4643,52069,52069,short,2635.31,2613.2057,win,217.74299999999965,221.04299999999984,0,1731340800000000000,1731340800000000000,H8-short
6189,52071,52083,short,2614.33,2595.6247,win,183.75300000000078,187.0530000000001,2,1731348000000000000,1731391200000000000,H6-short
6192,52089,52089,short,2593.08,2611.7853,loss,-190.3530000000008,187.0530000000001,0,1731412800000000000,1731412800000000000,H6-short
4650,52125,52133,short,2572.0,2549.8957,win,217.74299999999965,221.04299999999984,1,1731542400000000000,1731571200000000000,H8-short
9361,52741,52761,long,2665.53,2680.44255,win,145.8255000000001,149.12549999999985,5,1733760000000000000,1733832000000000000,H4-long
9367,52765,52765,long,2680.32,2695.23255,win,145.8255000000001,149.12549999999985,0,1733846400000000000,1733846400000000000,H4-long
9374,52793,52797,long,2718.04,2703.12745,loss,-152.4255000000001,149.12549999999985,1,1733947200000000000,1733961600000000000,H4-long
6301,52983,52995,short,2588.28,2606.9853000000003,loss,-190.3530000000008,187.0530000000001,2,1734631200000000000,1734674400000000000,H6-short
9457,53321,53341,long,2656.59,2641.67745,loss,-152.4255000000001,149.12549999999985,5,1735848000000000000,1735920000000000000,H4-long
9517,53657,53669,long,2721.88,2706.96745,loss,-152.4255000000001,149.12549999999985,3,1737057600000000000,1737100800000000000,H4-long
9538,53789,53813,long,2758.2,2743.28745,loss,-152.4255000000001,149.12549999999985,6,1737532800000000000,1737619200000000000,H4-long
9595,54113,54121,long,2844.11,2859.02255,win,145.8255000000001,149.12549999999985,2,1738699200000000000,1738728000000000000,H4-long
9598,54125,54129,long,2859.45,2874.36255,win,145.8255000000001,149.12549999999985,1,1738742400000000000,1738756800000000000,H4-long
9621,54265,54265,long,2934.07,2919.15745,loss,-152.4255000000001,149.12549999999985,0,1739246400000000000,1739246400000000000,H4-long
9757,55001,55013,long,2979.61,2994.52255,win,145.8255000000001,149.12549999999985,3,1741896000000000000,1741939200000000000,H4-long
9819,55345,55413,long,3073.93,3088.84255,win,145.8255000000001,149.12549999999985,5,1743134400000000000,1743379200000000000,H4-long
9826,55421,55441,long,3113.35,3128.26255,win,145.8255000000001,149.12549999999985,5,1743408000000000000,1743480000000000000,H4-long
9832,55445,55445,long,3144.68,3129.76745,loss,-152.4255000000001,149.12549999999985,0,1743494400000000000,1743494400000000000,H4-long
10093,56945,56949,long,3371.55,3386.46255,win,145.8255000000001,149.12549999999985,1,1748894400000000000,1748908800000000000,H4-long
5126,57541,57605,short,3269.9,3292.0043,loss,-224.34299999999968,221.04299999999984,2,1751040000000000000,1751270400000000000,H8-short
10308,58145,58157,long,3432.24,3417.3274499999998,loss,-152.4255000000001,149.12549999999985,3,1753214400000000000,1753257600000000000,H4-long
6926,58341,58341,short,3275.31,3294.0153,loss,-190.3530000000008,187.0530000000001,0,1753920000000000000,1753920000000000000,H6-short
10454,58969,58973,long,3383.36,3368.44745,loss,-152.4255000000001,149.12549999999985,1,1756180800000000000,1756195200000000000,H4-long
10476,59057,59113,long,3449.08,3463.99255,win,145.8255000000001,149.12549999999985,2,1756497600000000000,1756699200000000000,H4-long
10479,59117,59137,long,3475.1,3490.01255,win,145.8255000000001,149.12549999999985,5,1756713600000000000,1756785600000000000,H4-long
10485,59141,59141,long,3496.71,3481.79745,loss,-152.4255000000001,149.12549999999985,0,1756800000000000000,1756800000000000000,H4-long
10488,59153,59157,long,3527.71,3542.62255,win,145.8255000000001,149.12549999999985,1,1756843200000000000,1756857600000000000,H4-long
10494,59177,59181,long,3572.47,3557.55745,loss,-152.4255000000001,149.12549999999985,1,1756929600000000000,1756944000000000000,H4-long
10570,59625,59629,long,3720.44,3735.35255,win,145.8255000000001,149.12549999999985,1,1758542400000000000,1758556800000000000,H4-long
10572,59633,59641,long,3737.15,3752.06255,win,145.8255000000001,149.12549999999985,2,1758571200000000000,1758600000000000000,H4-long
10576,59649,59649,long,3774.25,3789.16255,win,145.8255000000001,149.12549999999985,0,1758628800000000000,1758628800000000000,H4-long
10665,60149,60149,long,4167.87,4152.95745,loss,-152.4255000000001,149.12549999999985,0,1760428800000000000,1760428800000000000,H4-long
10681,60213,60213,long,4328.98,4343.89255,win,145.8255000000001,149.12549999999985,0,1760659200000000000,1760659200000000000,H4-long
10779,60797,60797,long,4069.0,4083.91255,win,145.8255000000001,149.12549999999985,0,1762761600000000000,1762761600000000000,H4-long
10794,60857,60861,long,4199.06,4184.14745,loss,-152.4255000000001,149.12549999999985,1,1762977600000000000,1762992000000000000,H4-long
10868,61297,61297,long,4255.32,4240.40745,loss,-152.4255000000001,149.12549999999985,0,1764561600000000000,1764561600000000000,H4-long
10928,61633,61633,long,4322.25,4337.16255,win,145.8255000000001,149.12549999999985,0,1765771200000000000,1765771200000000000,H4-long
10964,61825,61829,long,4486.59,4471.67745,loss,-152.4255000000001,149.12549999999985,1,1766462400000000000,1766476800000000000,H4-long
11038,62317,62317,long,4615.71,4600.79745,loss,-152.4255000000001,149.12549999999985,0,1768233600000000000,1768233600000000000,H4-long
11077,62521,62521,long,4835.28,4820.36745,loss,-152.4255000000001,149.12549999999985,0,1768968000000000000,1768968000000000000,H4-long
11088,62565,62565,long,4939.08,4953.99255,win,145.8255000000001,149.12549999999985,0,1769126400000000000,1769126400000000000,H4-long
11095,62641,62641,long,5070.83,5055.91745,loss,-152.4255000000001,149.12549999999985,0,1769400000000000000,1769400000000000000,H4-long
11108,62693,62693,long,5261.14,5276.05255,win,145.8255000000001,149.12549999999985,0,1769587200000000000,1769587200000000000,H4-long
11112,62709,62709,long,5420.49,5435.40255,win,145.8255000000001,149.12549999999985,0,1769644800000000000,1769644800000000000,H4-long
11219,63329,63329,long,5207.71,5222.62255,win,145.8255000000001,149.12549999999985,0,1771876800000000000,1771876800000000000,H4-long
5684,63877,63877,short,4878.08,4855.9757,win,217.74299999999965,221.04299999999984,0,1773849600000000000,1773849600000000000,H8-short
7578,63885,63885,short,4829.49,4848.195299999999,loss,-190.35299999999626,187.0530000000001,0,1773878400000000000,1773878400000000000,H6-short
7580,63897,63897,short,4698.86,4717.565299999999,loss,-190.35299999999626,187.0530000000001,0,1773921600000000000,1773921600000000000,H6-short
7585,63927,63927,short,4553.3,4572.0053,loss,-190.35299999999626,187.0530000000001,0,1774029600000000000,1774029600000000000,H6-short
7689,64863,64863,short,4574.27,4592.9753,loss,-190.35299999999626,187.0530000000001,0,1777399200000000000,1777399200000000000,H6-short
5771,64885,64885,short,4544.75,4522.6457,win,217.74299999999965,221.04299999999984,0,1777478400000000000,1777478400000000000,H8-short
7693,64887,64887,short,4539.14,4557.8453,loss,-190.35299999999626,187.0530000000001,0,1777485600000000000,1777485600000000000,H6-short
7801,65775,65775,short,4369.45,4350.7447,win,183.75299999999623,187.0530000000001,0,1780682400000000000,1780682400000000000,H6-short
5859,65877,65877,short,4255.71,4233.6057,win,217.74299999999965,221.04299999999984,0,1781049600000000000,1781049600000000000,H8-short
7811,65883,65883,short,4173.79,4192.4953,loss,-190.35299999999626,187.0530000000001,0,1781071200000000000,1781071200000000000,H6-short
11910,67229,67229,long,4135.46,4150.37255,win,145.8255000000001,149.12549999999985,0,1785916800000000000,1785916800000000000,H4-long
11924,67285,67285,long,4361.39,4346.47745,loss,-152.4255000000001,149.12549999999985,0,1786118400000000000,1786118400000000000,H4-long
